product_category_name,year,month,demand,price,previous_orders
agro_industria_e_comercio,2017,1,2,21.99,8.0
agro_industria_e_comercio,2017,2,7,32.12,2.0
agro_industria_e_comercio,2017,3,2,40.995000000000005,7.0
agro_industria_e_comercio,2017,5,4,394.985,2.0
agro_industria_e_comercio,2017,6,1,1390.0,4.0
agro_industria_e_comercio,2017,7,1,1180.0,1.0
agro_industria_e_comercio,2017,8,1,22.0,1.0
agro_industria_e_comercio,2017,9,3,531.9966666666667,1.0
agro_industria_e_comercio,2017,10,5,670.0559999999999,3.0
agro_industria_e_comercio,2017,11,13,660.6915384615385,5.0
agro_industria_e_comercio,2017,12,9,528.9777777777778,13.0
agro_industria_e_comercio,2018,1,15,385.62933333333336,9.0
agro_industria_e_comercio,2018,2,22,312.8545454545455,15.0
agro_industria_e_comercio,2018,3,25,218.86,22.0
agro_industria_e_comercio,2018,4,12,375.05833333333334,25.0
agro_industria_e_comercio,2018,5,8,409.96875,12.0
agro_industria_e_comercio,2018,6,10,351.58000000000004,8.0
agro_industria_e_comercio,2018,7,29,266.2651724137931,10.0
agro_industria_e_comercio,2018,8,14,306.29928571428576,29.0
alimentos,2016,10,1,79.9,12.0
alimentos,2017,1,2,21.41,1.0
alimentos,2017,2,9,79.51444444444445,2.0
alimentos,2017,3,22,111.55318181818183,9.0
alimentos,2017,4,8,61.4125,22.0
alimentos,2017,5,3,129.29999999999998,8.0
alimentos,2017,6,1,149.9,3.0
alimentos,2017,7,7,83.45142857142858,1.0
alimentos,2017,8,8,45.5625,7.0
alimentos,2017,9,13,66.6576923076923,8.0
alimentos,2017,10,12,58.634166666666665,13.0
alimentos,2017,11,11,39.692727272727275,12.0
alimentos,2017,12,12,72.02083333333333,11.0
alimentos,2018,1,19,42.55315789473684,12.0
alimentos,2018,2,31,49.21935483870968,19.0
alimentos,2018,3,34,44.40882352941176,31.0
alimentos,2018,4,36,41.7425,34.0
alimentos,2018,5,37,37.222702702702705,36.0
alimentos,2018,6,24,57.1325,37.0
alimentos,2018,7,59,53.63525423728814,24.0
alimentos,2018,8,104,74.37451923076922,59.0
alimentos_bebidas,2017,3,5,22.16,14.0
alimentos_bebidas,2017,4,2,15.45,5.0
alimentos_bebidas,2017,5,13,26.299230769230768,2.0
alimentos_bebidas,2017,6,2,28.7,13.0
alimentos_bebidas,2017,7,7,22.599999999999998,2.0
alimentos_bebidas,2017,8,12,32.48666666666667,7.0
alimentos_bebidas,2017,9,6,34.315,12.0
alimentos_bebidas,2017,10,15,135.31133333333335,6.0
alimentos_bebidas,2017,11,29,83.08862068965517,15.0
alimentos_bebidas,2017,12,20,53.144000000000005,29.0
alimentos_bebidas,2018,1,10,33.218,20.0
alimentos_bebidas,2018,2,21,48.19619047619047,10.0
alimentos_bebidas,2018,3,17,136.57588235294116,21.0
alimentos_bebidas,2018,4,16,32.463125,17.0
alimentos_bebidas,2018,5,15,54.76533333333334,16.0
alimentos_bebidas,2018,6,9,29.116666666666667,15.0
alimentos_bebidas,2018,7,15,47.849333333333334,9.0
alimentos_bebidas,2018,8,20,50.506,15.0
artes,2017,3,5,44.65,6.0
artes,2017,4,1,119.9,5.0
artes,2017,5,8,870.95625,1.0
artes,2017,6,5,47.44,8.0
artes,2017,7,3,128.91666666666666,5.0
artes,2017,8,4,61.175,3.0
artes,2017,9,3,129.51333333333335,4.0
artes,2017,10,3,116.35000000000001,3.0
artes,2017,11,1,75.0,3.0
artes,2017,12,3,38.416666666666664,1.0
artes,2018,1,19,133.72473684210527,3.0
artes,2018,2,12,95.06,19.0
artes,2018,3,7,65.92857142857143,12.0
artes,2018,4,26,82.31846153846153,7.0
artes,2018,5,35,75.482,26.0
artes,2018,6,28,89.29071428571429,35.0
artes,2018,7,21,87.77142857142856,28.0
artes,2018,8,18,82.29944444444443,21.0
artes_e_artesanato,2017,5,1,21.99,1.0
artes_e_artesanato,2017,7,1,129.9,1.0
artes_e_artesanato,2018,4,1,15.99,1.0
artes_e_artesanato,2018,5,1,89.8,1.0
artes_e_artesanato,2018,7,11,59.50636363636364,1.0
artes_e_artesanato,2018,8,9,100.19555555555556,11.0
artigos_de_festas,2017,7,1,69.9,2.0
artigos_de_festas,2017,9,1,134.9,1.0
artigos_de_festas,2017,10,2,68.9,1.0
artigos_de_festas,2017,11,4,217.6725,2.0
artigos_de_festas,2017,12,2,257.6,4.0
artigos_de_festas,2018,1,2,67.9,2.0
artigos_de_festas,2018,3,5,178.4,2.0
artigos_de_festas,2018,4,1,21.9,5.0
artigos_de_festas,2018,5,3,26.266666666666666,1.0
artigos_de_festas,2018,6,2,42.400000000000006,3.0
artigos_de_festas,2018,7,2,28.75,2.0
artigos_de_festas,2018,8,14,91.80642857142857,2.0
artigos_de_natal,2017,4,1,69.0,7.5
artigos_de_natal,2017,6,3,61.56666666666666,1.0
artigos_de_natal,2017,7,2,32.545,3.0
artigos_de_natal,2017,8,1,58.9,2.0
artigos_de_natal,2017,9,3,65.26666666666667,1.0
artigos_de_natal,2017,10,7,47.121428571428574,3.0
artigos_de_natal,2017,11,21,62.02285714285714,7.0
artigos_de_natal,2017,12,14,33.464285714285715,21.0
artigos_de_natal,2018,1,9,84.05555555555556,14.0
artigos_de_natal,2018,2,17,75.59705882352942,9.0
artigos_de_natal,2018,3,12,71.24583333333334,17.0
artigos_de_natal,2018,4,9,27.97666666666667,12.0
artigos_de_natal,2018,5,6,87.42166666666667,9.0
artigos_de_natal,2018,6,6,45.73500000000001,6.0
artigos_de_natal,2018,7,8,63.695,6.0
artigos_de_natal,2018,8,11,51.306363636363635,8.0
audio,2016,10,2,78.495,17.0
audio,2017,2,5,32.760000000000005,2.0
audio,2017,3,13,81.21307692307693,5.0
audio,2017,4,9,84.71111111111112,13.0
audio,2017,5,17,122.42235294117646,9.0
audio,2017,6,11,151.9090909090909,17.0
audio,2017,7,7,110.24142857142859,11.0
audio,2017,8,7,150.1,7.0
audio,2017,9,10,104.25900000000001,7.0
audio,2017,10,32,73.39,10.0
audio,2017,11,33,105.37121212121212,32.0
audio,2017,12,17,158.05470588235295,33.0
audio,2018,1,25,149.25119999999998,17.0
audio,2018,2,15,188.56599999999997,25.0
audio,2018,3,33,320.33484848484846,15.0
audio,2018,4,30,228.18566666666666,33.0
audio,2018,5,20,134.139,30.0
audio,2018,6,19,95.5678947368421,20.0
audio,2018,7,21,97.51142857142857,19.0
audio,2018,8,24,84.98333333333333,21.0
automotivo,2016,10,11,148.9318181818182,140.0
automotivo,2017,1,31,147.5106451612903,11.0
automotivo,2017,2,82,153.14804878048778,31.0
automotivo,2017,3,81,171.32345679012346,82.0
automotivo,2017,4,84,169.54369047619048,81.0
automotivo,2017,5,113,154.78300884955752,84.0
automotivo,2017,6,108,286.7499074074074,113.0
automotivo,2017,7,108,124.19888888888889,108.0
automotivo,2017,8,135,112.11392592592593,108.0
automotivo,2017,9,97,123.29690721649484,135.0
automotivo,2017,10,140,144.24585714285715,97.0
automotivo,2017,11,250,134.89332000000002,140.0
automotivo,2017,12,250,151.1842,250.0
automotivo,2018,1,254,134.6801181102362,250.0
automotivo,2018,2,309,131.36446601941748,254.0
automotivo,2018,3,329,130.98568389057752,309.0
automotivo,2018,4,343,138.4168804664723,329.0
automotivo,2018,5,301,134.04199335548174,343.0
automotivo,2018,6,273,157.71981684981685,301.0
automotivo,2018,7,333,128.54222222222222,273.0
automotivo,2018,8,359,124.31693593314763,333.0
bebes,2016,10,13,117.71230769230769,139.0
bebes,2017,1,33,187.0930303030303,13.0
bebes,2017,2,33,90.8630303030303,33.0
bebes,2017,3,43,86.35093023255814,33.0
bebes,2017,4,49,78.47857142857143,43.0
bebes,2017,5,104,93.26740384615384,49.0
bebes,2017,6,74,102.56013513513513,104.0
bebes,2017,7,125,124.04816000000001,74.0
bebes,2017,8,128,151.85109375,125.0
bebes,2017,9,168,143.72363095238094,128.0
bebes,2017,10,135,121.45562962962964,168.0
bebes,2017,11,193,110.81880829015543,135.0
bebes,2017,12,139,142.43309352517986,193.0
bebes,2018,1,221,135.4957918552036,139.0
bebes,2018,2,171,149.70783625730994,221.0
bebes,2018,3,217,190.27364055299537,171.0
bebes,2018,4,226,214.17101769911505,217.0
bebes,2018,5,227,146.93581497797356,226.0
bebes,2018,6,211,141.42587677725118,227.0
bebes,2018,7,212,103.21485849056603,211.0
bebes,2018,8,211,102.85075829383885,212.0
bebidas,2017,3,4,112.22,17.5
bebidas,2017,4,2,62.489999999999995,4.0
bebidas,2017,5,1,90.0,2.0
bebidas,2017,6,1,49.99,1.0
bebidas,2017,7,2,111.99000000000001,1.0
bebidas,2017,8,2,59.95,2.0
bebidas,2017,9,7,44.64,2.0
bebidas,2017,10,10,49.898,7.0
bebidas,2017,11,18,37.97833333333333,10.0
bebidas,2017,12,31,66.87548387096774,18.0
bebidas,2018,1,41,48.33487804878049,31.0
bebidas,2018,2,28,65.38071428571429,41.0
bebidas,2018,3,20,45.985,28.0
bebidas,2018,4,29,55.04586206896551,20.0
bebidas,2018,5,34,65.10764705882353,29.0
bebidas,2018,6,30,45.675666666666665,34.0
bebidas,2018,7,17,78.53941176470589,30.0
bebidas,2018,8,25,53.8556,17.0
beleza_saude,2016,9,1,44.99,356.5
beleza_saude,2016,10,45,97.39377777777779,1.0
beleza_saude,2017,1,82,150.94658536585365,45.0
beleza_saude,2017,2,160,139.5496875,82.0
beleza_saude,2017,3,197,129.77634517766498,160.0
beleza_saude,2017,4,179,124.10178770949722,197.0
beleza_saude,2017,5,273,165.64457875457876,179.0
beleza_saude,2017,6,242,128.76495867768594,273.0
beleza_saude,2017,7,281,118.5332028469751,242.0
beleza_saude,2017,8,350,140.34337142857143,281.0
beleza_saude,2017,9,363,134.50561983471076,350.0
beleza_saude,2017,10,337,121.60516320474778,363.0
beleza_saude,2017,11,543,140.28920810313073,337.0
beleza_saude,2017,12,439,135.26995444191346,543.0
beleza_saude,2018,1,583,120.79749571183534,439.0
beleza_saude,2018,2,618,134.87122977346277,583.0
beleza_saude,2018,3,631,136.39229793977813,618.0
beleza_saude,2018,4,642,138.31616822429905,631.0
beleza_saude,2018,5,709,128.03324400564173,642.0
beleza_saude,2018,6,816,127.07045343137256,709.0
beleza_saude,2018,7,729,138.56688614540465,816.0
beleza_saude,2018,8,802,145.8119077306733,729.0
brinquedos,2016,10,25,166.00799999999998,178.0
brinquedos,2017,1,43,111.95558139534884,25.0
brinquedos,2017,2,64,144.71390625,43.0
brinquedos,2017,3,102,121.22127450980392,64.0
brinquedos,2017,4,109,117.75825688073394,102.0
brinquedos,2017,5,199,113.64346733668341,109.0
brinquedos,2017,6,155,98.45387096774193,199.0
brinquedos,2017,7,204,119.51862745098039,155.0
brinquedos,2017,8,178,100.65219101123596,204.0
brinquedos,2017,9,284,107.51545774647887,178.0
brinquedos,2017,10,283,120.05883392226148,284.0
brinquedos,2017,11,468,133.96463675213676,283.0
brinquedos,2017,12,431,130.0318561484919,468.0
brinquedos,2018,1,161,134.00273291925464,431.0
brinquedos,2018,2,138,103.81978260869565,161.0
brinquedos,2018,3,230,100.90217391304348,138.0
brinquedos,2018,4,196,116.75836734693877,230.0
brinquedos,2018,5,215,145.81167441860464,196.0
brinquedos,2018,6,183,110.28852459016393,215.0
brinquedos,2018,7,152,112.02217105263158,183.0
brinquedos,2018,8,159,108.81635220125786,152.0
cama_mesa_banho,2016,10,6,73.22166666666668,515.0
cama_mesa_banho,2017,1,45,82.908,6.0
cama_mesa_banho,2017,2,150,98.50573333333334,45.0
cama_mesa_banho,2017,3,265,90.54437735849058,150.0
cama_mesa_banho,2017,4,249,91.16036144578314,265.0
cama_mesa_banho,2017,5,341,92.70624633431086,249.0
cama_mesa_banho,2017,6,358,94.50807262569832,341.0
