# PricePilot AI - DUMMY / DEMONSTRATION COMPETITOR PRICING DATASET
# This dataset contains synthetic data intended solely for demonstration, testing, and academic evaluation.
product_id,product_name,category,brand,our_price,competitor_name,competitor_price,price_difference,price_difference_percentage,competitor_rating,competitor_stock,marketplace,date
P1001,Apple iPhone 15 Pro (128GB),Mobiles,Apple,129900.0,Amazon,124371.92,5528.08,4.44,3.9,96,Amazon India,2026-05-20
P1001,Apple iPhone 15 Pro (128GB),Mobiles,Apple,129900.0,Walmart,122053.83,7846.17,6.43,4.1,92,Walmart Global,2026-05-20
P1001,Apple iPhone 15 Pro (128GB),Mobiles,Apple,129900.0,Croma,122249.26,7650.74,6.26,4.6,11,Croma Retail,2026-05-20
P1001,Apple iPhone 15 Pro (128GB),Mobiles,Apple,129900.0,Reliance Digital,116304.46,13595.54,11.69,4.7,20,Reliance Digital Store,2026-05-20
P1001,Apple iPhone 15 Pro (128GB),Mobiles,Apple,129900.0,Amazon,126344.64,3555.36,2.81,4.8,97,Amazon India,2026-05-27
P1001,Apple iPhone 15 Pro (128GB),Mobiles,Apple,129900.0,Walmart,123042.89,6857.11,5.57,4.5,93,Walmart Global,2026-05-27
P1001,Apple iPhone 15 Pro (128GB),Mobiles,Apple,129900.0,Croma,120227.66,9672.34,8.05,4.2,68,Croma Retail,2026-05-27
P1001,Apple iPhone 15 Pro (128GB),Mobiles,Apple,129900.0,Reliance Digital,116491.93,13408.07,11.51,4.6,18,Reliance Digital Store,2026-05-27
P1001,Apple iPhone 15 Pro (128GB),Mobiles,Apple,129900.0,Amazon,125117.9,4782.1,3.82,4.0,62,Amazon India,2026-06-03
P1001,Apple iPhone 15 Pro (128GB),Mobiles,Apple,129900.0,Walmart,122473.95,7426.05,6.06,4.2,142,Walmart Global,2026-06-03
P1001,Apple iPhone 15 Pro (128GB),Mobiles,Apple,129900.0,Croma,120505.34,9394.66,7.8,4.2,14,Croma Retail,2026-06-03
P1001,Apple iPhone 15 Pro (128GB),Mobiles,Apple,129900.0,Reliance Digital,114306.6,15593.4,13.64,3.8,80,Reliance Digital Store,2026-06-03
P1001,Apple iPhone 15 Pro (128GB),Mobiles,Apple,129900.0,Amazon,124081.61,5818.39,4.69,3.9,145,Amazon India,2026-06-10
